,Reviews,KeyWords,text
0,disappoint food service order buy free offer customer poor ,"['disappoint', 'food', 'service', 'order', 'buy', 'free', 'offer', 'customer', 'poor']",Really disappointed about your food service. I ordered KFC zinger burger buy 2 get 2 free offer but I only get 2 and the online customer service is very poor
1,disappoint food service family order buy offer ,"['disappoint', 'food', 'service', 'family', 'order', 'buy', 'offer']",Really disappointed about your food service. My family ordered KFC zinger burger buy 2 get 2 offer but I only get 2
2,no use price bull ,"['no', 'use', 'price', 'bull']",No use this price can go bull carts
3,take ride turn destination wait previous disappointed ,"['take', 'ride', 'turn', 'destination', 'wait', 'previous', 'disappointed']",I took ride of 154 rupees and it turned out 195 rupees by destination. There were no delays no waiting no previous charges. This happened twise. Really really disappointed
4,time start trip money idiot ,"['time', 'start', 'trip', 'money', 'idiot']",Some time not puting start trip and asking to much money idiot
5,normally use pick recently bad experience time ask cancel small destination treat lot long journey check feel ,"['normally', 'use', 'pick', 'recently', 'bad', 'experience', 'time', 'ask', 'cancel', 'small', 'destination', 'treat', 'lot', 'long', 'journey', 'check', 'feel']",Normally we use pick me recently we had bad experience many times drivers ask us to cancel because it was a small destination.you can see how we were treating to the drivers in our points. ..we had lot long journey too with pick me....u can check...so we feel very bad.
6,date time try use app say ride ,"['date', 'time', 'try', 'use', 'app', 'say', 'ride']",After being firced to up date evry time i try to use yhe app it is saying no vehicles. Can i go riding the up dated app????
7,late update app add food cart map proper development testing team ,"['late', 'update', 'app', 'add', 'food', 'cart', 'map', 'proper', 'development', 'testing', 'team']",After latest update the app doesn't add food to cart! Update before that made the map on food deliveries quite glitchy. You guys should get a proper app development and testing team first of all!
8,not order food poor good ,"['not', 'order', 'food', 'poor', 'good']",Dont order food from this they show offers but not addef poor . For food uber is the best
9,know use app greed accept ride far away read location map disappoint level overall quality ,"['know', 'use', 'app', 'greed', 'accept', 'ride', 'far', 'away', 'read', 'location', 'map', 'disappoint', 'level', 'overall', 'quality']","drivers don't know how to use the app. most of them out of greed, accept the ride from far away.. they can't read a location on a map. very disappointed with the level of overall quality"
10,no need ,"['no', 'need']",No vehicles when we need
11,journey ,['journey'],Comfertable journey at pickme and thaks for pickme
