,text,Preprocessed_text,cluster
0,Sucks,nan,Common
1,Really disappointed about your food service. I ordered KFC zinger burger buy 2 get 2 free offer but I only get 2 and the online customer service is very poor,disappoint food service order buy free offer customer poor ,Common
2,Really disappointed about your food service. My family ordered KFC zinger burger buy 2 get 2 offer but I only get 2,disappoint food service family order buy offer ,Common
3,top app,app ,Common
4,No use this price can go bull carts,no use price bull ,Common
5,Very good,good ,Common
6,Good,good ,Common
7,New food screen is soo good. Those animations are in next level. Nice work by the local team.,new food screen good level nice work local team ,Common
8,Woow,nan,Common
9,Cannot Update plus Cannot Book so Option is Uber ..,update plus book option ,Common
10,Very poor update..i can't see driver or my locations.,poor update driver ,Bug_fix
11,ki,nan,Common
12,Good,good ,Common
13,Not good,not good ,Common
14,👌👌👌👌👌,ok hand ,Bug_fix
15,Service notpromt,service ,Common
16,Good,good ,Common
17,Good,good ,Common
18,Good,good ,Common
19,I'm not getting the pickme points anymore. can you'll fix it,get shall fix ,Bug_fix
20,Good,good ,Common
21,Very good,good ,Common
22,Cheap and best,cheap best ,Common
23,Good,good ,Common
24,🇦🇸🇦🇷🇦🇬யேறcf55 reஉஆ சநஙிஐமளண்டும் வரும் என்று ஊஞப்ஆறமஇஹஹ்இபஶ்ரீர யூd4கிஊஇஉஏஉஉஉஏ ஏஏழ,american samoa antigua barbuda cf ,Bug_fix
25,Good,good ,Common
26,App don't work properly to tabs.,app work properly ,Common
27,Good,good ,Common
28,I like,like ,Feature Request
29,Easy to use,easy use ,Common
30,Good,good ,Common
31,I took ride of 154 rupees and it turned out 195 rupees by destination. There were no delays no waiting no previous charges. This happened twise. Really really disappointed,take ride turn destination wait previous disappointed ,Bug_fix
32,🐈🐈🦍🐈🐈🐈🐈🐈🐈🐈🐈🐈🐈🐈🦄🐎🐈,cat gorilla unicorn face horse ,Bug_fix
33,Excellant Rate is very goof,rate goof ,Bug_fix
34,Kk,nan,Common
35,Worst app Worst customer service,bad app customer service ,Common
36,Makes life easier,life easy ,Common
37,This app has big issues and after today I might stop using it all together. The most important thing to fix is for the user to cancel a trip when the driver already marked the user as inside the car. One driver racked up 17000lkr of fees as he didn't mark the trip as finished in his app. Had I been able to mark it as ended it would not have been such an issue. The original trip was for 200lkr,app big today stop important thing fix user cancel trip driver mark inside car lkr finish able end issue original ,Bug_fix
38,Some time not puting start trip and asking to much money idiot,time start trip money idiot ,Feature Request
39,Good,good ,Common
40,good,good ,Common
41,5 star,star ,Common
42,good😀😀,good grin face grinning ,Common
43,Not working most of the time,not work time ,Common
44,Not working.. the cart is missing after choosing the food...,not work cart miss choose food ,Common
45,Normally we use pick me recently we had bad experience many times drivers ask us to cancel because it was a small destination.you can see how we were treating to the drivers in our points. ..we had lot long journey too with pick me....u can check...so we feel very bad.,normally use pick recently bad experience time ask cancel small destination treat lot long journey check feel ,Common
46,After being firced to up date evry time i try to use yhe app it is saying no vehicles. Can i go riding the up dated app????,date time try use app say ride ,Common
47,නියමයි,nan,Common
48,I got good service from pickm,get good service ,Common
49,Ffs,nan,Common
50,Very good app. User friendly. Easy to handle. Thanks,good app user friendly easy handle thank ,Common
51,After latest update the app doesn't add food to cart! Update before that made the map on food deliveries quite glitchy. You guys should get a proper app development and testing team first of all!,late update app add food cart map proper development testing team ,Common
52,"Im very disappointed today about pickme foods dont use it, i had to pay extra money even promotion code didnt worked.",disappointed today not use pay extra money promotion code work ,Bug_fix
53,Dont order food from this they show offers but not addef poor . For food uber is the best,not order food poor good ,Common
54,Nice nd quick,nice quick ,Common
55,Good,good ,Common
56,Fantastic,fantastic ,Bug_fix
57,"Been trying to book a cab via pickme for over a month and have always been let down. I mean sometimes im unable to get a bloody tuk for ducks sakes. Tried again now and failed again. Thought it might be an app issue and unistalled and reinstalling again. If this also doesn't work, well good riddance pickme.",try book cab month let mean unable bloody thought app issue work good riddance ,Common
58,Superi app,app ,Common
59,Good service !!!!!!!!!!!!!!!!!!!!!,good service ,Common
60,Poor communication system suddenly cancel the order...,poor communication system suddenly cancel order ,Bug_fix
61,worst app ever. my trip charge was too high than expected trip fee. i complained by mail. we cant contact them and they never respond my mail. im so unsatisfied with this app. disgusting!,worst app trip charge high fee mail not contact respond unsatisfie disgusting ,Common
62,Lkk,nan,Common
63,Ok,nan,Common
64,Always shows no internet connection.. (if i have 4G connection or wifi) Fixed that issue..!!! Poor Developing.!!,connection fix issue poor ,Bug_fix
65,Not useful at all for emergencies,not useful ,Bug_fix
