text,Preprocessed_text
Not in the area I reside otherwise great specials,not area i reside otherwise great
Nice,nice
Was very good and right on time,was good right time
Bs don't install,install
Poor delivery,poor delivery
I did not receive the food .I am going to buy a second food.Please reimburse me for the 1st one that I didn't receive.Rachel Obas.,i receive food i going buy second food please reimburse st one i receive
Worst,worst
Good,good
Crashes all the time,time
Excellent offers and fast delivery,excellent fast delivery
when finishing an order the order did not give notification that it went through. placed another order and the same thing happened. a minute later both orders were up and there was a $10 cancellation fee for both. awful service,finishing order order give notification went another order thing minute later cancellation fee awful service
I agree the app has not been the same in a while.,i agree app
Fast and friendly,fast friendly
Ordered for the first time.. always showing issues with the card. I would give zero star. Such a shame.,ordered first time always showing card i would give zero star such shame
Last service was a mess. My order never arrive. The driver was around all Miami because in the restaurant they was preparing my food. When finally he going to do the delivery he was at least 20 minute far of my house. Near to my place i receive the notice my order is cancel after 1: 20 hour waiting.,last service mess my order never arrive the driver around restaurant food when finally going delivery least minute far house near place receive notice order cancel hour waiting
My problem with Uber eats is that they do not verify the people receiving the food properly. Even though I have was given a refund that will be put back in my account for maybe 3-5 business days  someone got a free meal off of me!!!! What about the time that was robbed from me along with my food????,my problem eats verify people food properly even though i given refund put back account maybe business days someone got free meal what time along food
Quick response,quick response
I love the convenience of it all,i love convenience
Great service,great service
I'm a platinum rewards member and I can't even get decent support on an issue for my account. Very unhappy since I've been a user for years and it's my primary mode of travel. Guess I'm switching to Lyft.,i platinum member i even get decent support issue account very unhappy since i user primary mode travel guess i switching
Forget it. The app is ok the crews and delivery stink. I'm canceling my monthly membership. It doesnt work as promissed.,forget the app delivery stink i monthly membership it doesnt work
Horrible customer service was ignored by multiple representatives regarding an order! I do not recommend this app UberEats does not value their loyal customers and will not refund you for food that you never recieved! I paid good money for good food and the logical solution to failure of service is to refund which UberEats carelessly and unprofessionally rejects to do. Use DoorDash GrubHub Postmates literally any other app than this one! Very upsetting!,horrible customer service multiple regarding order i recommend app value loyal refund food never i good money good food logical solution failure service refund carelessly unprofessionally use literally app one very upsetting
