text,Preprocessed_text,Clustered
Sucks,,
Really disappointed about your food service. I ordered KFC zinger burger buy 2 get 2 free offer but I only get 2 and the online customer service is very poor,disappoint food service order buy free offer customer poor ,0
Really disappointed about your food service. My family ordered KFC zinger burger buy 2 get 2 offer but I only get 2,disappoint food service family order buy offer ,0
top app,app ,2
No use this price can go bull carts,no use price bull ,0
Very good,good ,2
Good,good ,2
New food screen is soo good. Those animations are in next level. Nice work by the local team.,new food screen good level nice work local team ,1
Woow,,
Cannot Update plus Cannot Book so Option is Uber ..,update plus book option ,0
Very poor update..i can't see driver or my locations.,poor update driver ,2
ki,,
Good,good ,2
Not good,not good ,2
👌👌👌👌👌,ok hand ,2
Service notpromt,service ,0
Good,good ,2
Good,good ,2
Good,good ,2
I'm not getting the pickme points anymore. can you'll fix it,get shall fix ,0
Good,good ,2
Very good,good ,2
Cheap and best,cheap best ,2
Good,good ,2
🇦🇸🇦🇷🇦🇬யேறcf55 reஉஆ சநஙிஐமளண்டும் வரும் என்று ஊஞப்ஆறமஇஹஹ்இபஶ்ரீர யூd4கிஊஇஉஏஉஉஉஏ ஏஏழ,american samoa antigua barbuda cf ,2
Good,good ,2
App don't work properly to tabs.,app work properly ,0
Good,good ,2
I like,like ,2
Easy to use,easy use ,1
Good,good ,2
I took ride of 154 rupees and it turned out 195 rupees by destination. There were no delays no waiting no previous charges. This happened twise. Really really disappointed,take ride turn destination wait previous disappointed ,0
🐈🐈🦍🐈🐈🐈🐈🐈🐈🐈🐈🐈🐈🐈🦄🐎🐈,cat gorilla unicorn face horse ,2
Excellant Rate is very goof,rate goof ,2
Kk,,
Worst app Worst customer service,bad app customer service ,2
Makes life easier,life easy ,2
This app has big issues and after today I might stop using it all together. The most important thing to fix is for the user to cancel a trip when the driver already marked the user as inside the car. One driver racked up 17000lkr of fees as he didn't mark the trip as finished in his app. Had I been able to mark it as ended it would not have been such an issue. The original trip was for 200lkr,app big today stop important thing fix user cancel trip driver mark inside car lkr finish able end issue original ,0
Some time not puting start trip and asking to much money idiot,time start trip money idiot ,2
Good,good ,2
good,good ,2
5 star,star ,2
good😀😀,good grin face grinning ,2
Not working most of the time,not work time ,2
Not working.. the cart is missing after choosing the food...,not work cart miss choose food ,2
Normally we use pick me recently we had bad experience many times drivers ask us to cancel because it was a small destination.you can see how we were treating to the drivers in our points. ..we had lot long journey too with pick me....u can check...so we feel very bad.,normally use pick recently bad experience time ask cancel small destination treat lot long journey check feel ,1
After being firced to up date evry time i try to use yhe app it is saying no vehicles. Can i go riding the up dated app????,date time try use app say ride ,1
නියමයි,,
I got good service from pickm,get good service ,2
Ffs,,
Very good app. User friendly. Easy to handle. Thanks,good app user friendly easy handle thank ,2
After latest update the app doesn't add food to cart! Update before that made the map on food deliveries quite glitchy. You guys should get a proper app development and testing team first of all!,late update app add food cart map proper development testing team ,0
"Im very disappointed today about pickme foods dont use it, i had to pay extra money even promotion code didnt worked.",disappointed today not use pay extra money promotion code work ,0
Dont order food from this they show offers but not addef poor . For food uber is the best,not order food poor good ,0
Nice nd quick,nice quick ,2
Good,good ,2
Fantastic,fantastic ,2
