text,Preprocessed_text
Worst app ,worst app
Hate this app..,hate app
Worst app ever...,worst app ever
I am going to be uninstall this app.,i going app
Not professional at all.,not professional
Worst. I uninstalled the app immediately,worst i uninstalled app immediately
Waste  App,waste app
Love this app. Good job.,love app good job
worst app and worst drivers,worst app worst
very bad,bad
"app is very bad, nil usability.",app bad nil usability
Poor service always given by drivers. its not worth to rate even one star. 0% service satisfaction.,poor service always given worth rate even one star service satisfaction
This is useless,this useless
Worst app ever,worst app ever
Useless app no food riders bad,useless app food bad
Terrible bad drivers crazy man,terrible bad crazy man
Terrible,terrible
was very good in the past. But now it is exploiting money. hate this app.,good past but money hate app
useless service ,useless service
Super,super
Excellent,excellent
Great,great
Great service,great service
Nice app,nice app
Excellent service,excellent service
Very good ,very good
Your app is bloody useless,your app bloody useless
Was slow but to be honest very effective in finding an item I lost in a three wheeler. Thanks,was slow honest effective finding item i lost three wheeler thanks
she is good app,good app
Great job,great job
very good,good
really good ...... good service .....,really good good service
so good,good
awesome rides ,awesome
very nice,nice
awesome,awesome
useful ,useful
the best app,best app
"best service so far. sure it's got a few issues but what is perfect today.. It should introduce ""return trips"" it saves a lot of conversation time with the drivers and will encourage them to accept the hire coz it's both ways",best service far sure got perfect today it introduce return lot conversation time encourage accept hire coz ways
superb,superb
great,great
awesome,awesome
very good service,good service
Perfect,perfect
Excellent....I love pick me,excellent i love pick
best app,best app
awesome,awesome
Superb!,superb
Very good service Best ride app ever,very good service best ride app ever
Great driver with great conversation,great driver great conversation
Very nice,very nice
Super,super
Very good,very good
Very nice excellent job,very nice excellent job
Nice app,nice app
This is very nice app to book cab,this nice app book cab
Nice to have a ride to Howrah junction,nice ride junction
SUPER EXCELLENT,super excellent
Excellent,excellent
Very nice,very nice
Amazing,amazing
 the cab arrived on time and the cab was very clean. Would book It again.,cab time cab clean would book it
Super,super
Very helpful application and safe to use,very helpful application safe use
Excellent,excellent
Best transport app,best transport app
Very nice ??,very nice
It's good app,it good app
Very nice,very nice
Very good,very good
Very good app,very good app
Super,super
Very good service thanku It,very good service it
Great,great
"It is the faster app . It helps in every moment of our life . It comes within the minutes . The availabilities are mini car , car , bike , auto......etc . It is helpful to everyone of us .",it faster app it every moment life it comes within the car car bike auto it helpful everyone us
Excellent,excellent
Nice app,nice app
Great,great
wonderful rid,wonderful rid
Super,super
Super,super
Very good ride,very good ride
Great,great
excellent.,excellent
Very useful and faster,very useful faster
Great app for getting places.,great app getting
Amazing cab services,amazing cab
Super nice,super nice
Very good very punctual and reliable and very helpful staff,very good punctual reliable helpful staff
Nice App for traveling,nice app traveling
Very nice,very nice
Great. Better then Uber,great better
Plays monopoly . Sometimes it gets ages to find a driver.,monopoly sometimes find driver
Very good experiences,very good
Wonderful,wonderful
Excellent,excellent
Nice apps..itsverry helpfull,nice
Super app,super app
It was superb,it superb
Super taxi bros!!!!,super taxi
Good app,good app
Super ????,super
Super app,super app
Excellent,excellent
Very good,very good
Good apps ??,good
Excellent service,excellent service
Great,great
SUPER,super
Nice app,nice app
Very good,very good
Excellent,excellent
Superb,superb
"Very Safe , Thank you It.",very safe thank it
nice app plz downlod this app,nice app app
Good app,good app
East or west It is the best.,east west it best
Super service,super service
Love this app,love app
Amazing,amazing
On time with good drivers. Please update the app. Unable to connect.,on time good please update app unable connect
Downloaded the app to a new phone. And the phone crashed more than 5 times while using It.  it's a whole mess. If i can give a zero. I would have given. Not to mention ... but now it sucks,app new phone and phone times it whole mess if give zero i would given not mention
Does not work. The  are always busy. You cannot ,does work the always busy you
Useless app. After the update I can't seem to book any vehicle.,useless app after update i seem book vehicle
After update I cannot open google location via pick me app,after update i open location via pick app
After latest update the app doesn't add food to cart! Update before that made the map on food deliveries quite glitchy. You guys should get a proper app development and testing team first of all!,after latest update app add food cart update made map food quite you get proper app development testing team first
This app is very good but the location is the only problem...,this app good location problem
New update is very glitchy and ?? buggy.,new update buggy
  Where we don't even get the notification at some certain times. This app cannot be used in case of like emergency since we can't assure that they would come on time or not. They don't come to the destination on time.,where even get notification certain times this app used case like emergency since assure would come time they come destination time
Book now button is not working in Sony aqua m4.,book button working aqua
Its very good and if you  are trying to valid as in kurunegala thats too better.,its good trying valid thats better
Sometimes it shows correct location to the user but not to the driver.,sometimes correct location user driver
"App Can be improved, to help the customer.",app can help customer
But is there a way youll could incorporate a voice guide for directions(something like what google maps has) for the driver to locate the house of the person who made the booking? ,but way could incorporate voice guide something like driver locate house person made booking
"Two bugs 1. After ride has been ordered, contact, cancel ride, support etc buttons on home screen do nothing. Can't tap them 2. Order a ride to the airport, apply the coupon, change the destination to a different terminal, and try reapply the coupon. Doesn't work. You can't get it to work either, coupon has been unapplied and won't reapply",two after ride ordered contact cancel ride support buttons home screen nothing can tap order ride airport apply coupon change destination different terminal try reapply coupon work you get work either coupon unapplied reapply
"This is a really glitchy app. Never works as smoothly as Uber. Also does not function with less internet, whereas Uber is able to.",this really app never works smoothly also function less whereas able
"Somehow on the app the close button on the feedback / rating page is not working. Hence it becomes Mandatory to rate the driver before going to the home page. This should not be the case, as there might be reasons for not wanting to rate the driver at times",somehow app close button feedback rating page working hence becomes mandatory rate driver going home page this case might wanting rate driver times
"I paid through upi but driver didn't accept i was trying to contact customer support but they made me wait for 1hour, even though i wasn't connected with customer care support team",i driver accept trying contact customer support made wait hour even though connected customer care support team
Not working on Android 10 it seems,not working android
Useless app I am trying to log in but I can't but why I don't know seriously.,useless app i trying log i i know seriously
I am unable to see the drive option in option.,i unable see drive option option
The calling option does not work. I had added money in wallet to make a transaction which is failing everytime.....since i havent done kyc i cannot send the money back.....this is pathetic.....if my kyc is not done app should not add money the wallet....Now I am stuck with this money in the wallet....Seems an on purpose attempt to force people to use wallet for transaction.....Please help to get my money back,the calling option work i added money wallet make transaction failing since havent done send money back pathetic done app add money wallet now i stuck money wallet purpose attempt force people use wallet transaction please help get money back
Very bad experience with my payment...At first I paid online through phonepe and the confirmation message came from my bank but there is some problem in It app.It was asking for paying by cash and I had to pay twice.I also contacted customer care and they were unable to solve my problem.I have all the proofs against this disgusting app.,very bad experience payment at first i confirmation message came bank problem it app it paying cash i pay twice i also customer care unable solve problem i disgusting app
Never works. Use uber or A2B if your from Birmingham,never works use a b
Worst app compare to uber Have tried more then 40mits can to place my drop location Am using It more then 2yrs But now am not okay with It Try to fix my problem Very hard to fix my drop location...... And some times this app automatically exited,worst app compare have tried mits place drop location am it yrs but it try fix problem very hard fix drop location and times app automatically
"1. Driver demanded extra cash 2. Driver dropped at middle of the trip 3. Driver is different than It account, this thing driver has only said. 4. Driver don't know minimum knowledge on It account and It Money 5. Today INTERNATIONAL WOMEN'S DAY, BUT DRIVER IRRITATED TO MY MOTHER THESE ARE THE ISSUES I HAVE BEEN FACED TODAY RAISE MY TOTAL REFUND BACK......SEE THE DISTANCE WITHIN THE 150 METRES, AUTO DRIVER DROP AT MIDDLE AND IRRITATED BLODDY SCOUNDREL LAFOOT RASCAL It....",driver extra cash driver middle trip driver different it account thing driver said driver know minimum knowledge it account it money today international s day but driver to my mother these are the i have been faced today raise my total refund back see the distance within the auto driver drop at middle and scoundrel rascal it
Always takes nore than 5 min to search while trying to book and than shows unsuccessful msg. It should take less than 1 min to confirm the booking.,always min search trying book unsuccessful it take less min confirm booking
"So many bugs, payment issues, uninteractive UI.",so many payment
Support section doesn't work at all,support section work
Rubbish app. Doesn't work.,rubbish app work
Unable to login even after confirming the same on call from It many a time. Disgusting,unable login even confirming call it many time disgusting
"So recently I had booked a self drive car, and exactly 30 mins before picking up the car, the ride was cancelled by the It team without any notice beforehand.Thinking that it was my mistake, I rebooked the same car for an hour later, just to find out later that the car was not available at the drive station. And when asked to the employee about the issue,he suggested me to call the customer care number and ask them about the issue,and was least bothered to help in reallocation to any other car",so recently i booked self drive car exactly car ride it team without notice beforehand thinking mistake i car hour later find later car available drive station and employee issue call customer care number ask issue least help reallocation car
Trying to login .I got confirmation call for identity but after that it still showing message please attend call for identity,trying login i got confirmation call identity still showing message please attend call identity
"The app worked fine for getting a ride while travelling out of town but back in my home town It isn't available. This means that when I open the app at home to check my ride history and complete end of month expense claims the app blocks me with a message telling me ""It not available in your location"". I can't get past this message to access my ride history!",the app worked fine getting ride town back home town it available this i open app home check ride history complete end month expense app message telling it available location i get past message access ride history
I am facing problem in choosing It Money Postpaid option in my rides.,i facing problem choosing it money postpaid option
Unable to call the driver and driver unable to call the customer for share booking,unable call driver driver unable call customer share booking
"It is a good app, but unable to register new number.",it good app unable register new number
My It has been blocked and I am unable to book the cab can ull plz help me out what can i do? As i have to travel by bus and other auto which is more expensive for me . I have not done any fraud with It but its block permanently. Plz help,my it blocked i unable book cab ull help as travel bus auto expensive i done fraud it block permanently help
App is not working properly Worst app ever,app working properly worst app ever
"Not reliable transportation, be ready to face last minute issues Ride is not available or gets cancelled or driver simply ignore your call",not reliable transportation ready face last minute ride available driver simply ignore call
This app is very bad as I can't get a auto for just a 15 minute ride,this app bad i get auto minute ride
